epoch,acc,loss,val_acc,val_loss
0,0.71538391912469756,0.54872334104149789,0.73067415730337082,0.52510193043880249
1,0.74452313252823632,0.50591416533745359,0.74589887640449437,0.49974031630526766
2,0.75344030612459956,0.49100085749628702,0.75317415730337078,0.48960729735620906
3,0.7592269494033228,0.48149154599550165,0.75373595505617974,0.48559195519833082
4,0.76329695093269456,0.47512497786496022,0.75348314606741573,0.48831295965762622
5,0.76677080959964672,0.46916886029128635,0.75856741573033704,0.47857966313201389
6,0.76978897791187451,0.46497133377739558,0.76210674157303371,0.47231253587797789
7,0.77210488369027663,0.46049816925181358,0.76915730337078647,0.46461128696966708
8,0.77427721579509667,0.45707746329682469,0.76575842696629215,0.47630134972293725
9,0.77593143420755006,0.45413527677213233,0.77000000000000002,0.46429579158847251
10,0.77801013130786001,0.45070514322848615,0.76471910112359553,0.47754027512636077
11,0.77919305353150414,0.44867492622902738,0.76929775280898871,0.46207085403163783
12,0.78168686581866154,0.44569579379244156,0.76584269662921345,0.47383301649200782
13,0.78263257936384134,0.44405291684119014,0.77323033707865163,0.45964920546231647
14,0.78360950457756318,0.44181862157514945,0.77002808988764049,0.46469065478678501
15,0.78479866913465524,0.44026359816780769,0.77500000000000002,0.45978645482759795
16,0.78594413735668134,0.43851278467133148,0.77446629213483142,0.46071775311834356
17,0.78777314111125896,0.43651529702419167,0.77030898876404497,0.47883816301152948
18,0.78806028845879539,0.43524450041157875,0.77983146067415732,0.451923103131605
19,0.7894367230250936,0.43297039466531356,0.78053370786516851,0.45014882285943192
20,0.79021701472897221,0.43157851071891395,0.77179775280898877,0.461391040033169
21,0.79142802745396934,0.42968974085292916,0.76727528089887642,0.46737272612164532
22,0.79201168564874891,0.42799792928715591,0.77865168539325846,0.45784993849443584
23,0.79365341939449241,0.42646037030230005,0.76941011235955059,0.47143630061256753
24,0.79401547474526468,0.42524443891827379,0.78039325842696627,0.45294884050830025
