epoch,acc,loss,val_acc,val_loss
0,0.73336496115745109,0.52355516106888822,0.7633426966292135,0.47757528037167668
1,0.76824712150464713,0.46632319558218299,0.78415730337078648,0.44292586066749656
2,0.78543538716550987,0.43645762828839491,0.79146067415730337,0.42078879874743774
3,0.79999250920038334,0.41445154645112836,0.79710674157303374,0.41485589410481827
4,0.80944028115489286,0.39741035087744864,0.80075842696629218,0.40638345169217399
5,0.81818579057613494,0.38264952199294611,0.80351123595505614,0.40610418029045792
6,0.82591692078222312,0.37101745039900585,0.80595505617977525,0.40159163022309208
7,0.83198134790747369,0.35962877082532185,0.80893258426966297,0.40050900158587466
8,0.836722400302501,0.35002066946843235,0.81011235955056182,0.39726999807893559
9,0.84225310790223007,0.34111372115433486,0.81325842696629214,0.3970875017026837
10,0.84691613112664632,0.33243699245328823,0.8125,0.3955637465032299
11,0.85156354851753568,0.32423314781092344,0.81584269662921349,0.38939939924170464
12,0.85604866523356882,0.31648927438812136,0.81848314606741568,0.39921922034092161
13,0.85956934140258989,0.30889263701911324,0.81640449438202245,0.3999869054957722
14,0.86314619857524733,0.30251972393834214,0.8167134831460674,0.39622058230169704
15,0.86602391438071002,0.29754939189191038,0.82025280898876407,0.39754334285687865
16,0.8695758022184592,0.29032337743934844,0.81842696629213485,0.3965888858779093
17,0.87244415452309887,0.28519916577956261,0.8217134831460674,0.40388860858558268
18,0.87484121063818499,0.27991703650898275,0.81842696629213485,0.4062871431634667
19,0.87722890325356428,0.27576179719329408,0.81876404494382027,0.39664749508493402
20,0.87976329070878456,0.27093240223927972,0.82039325842696631,0.41005450668629634
21,0.88216034682442879,0.26614179365876611,0.81977528089887641,0.41552816306607104
22,0.88513169763440158,0.26085761503582605,0.82154494382022469,0.4062416195802474
23,0.8874538457458796,0.25697298668559843,0.8223314606741573,0.40863070745146679
24,0.88826847028530342,0.2538042037374359,0.82126404494382022,0.41127987891100765
