epoch,acc,loss,val_acc,val_loss
0,0.74266915943893663,0.50767409439252387,0.76733146067415725,0.46713272310374826
1,0.7775638044526566,0.45020149837755619,0.78691011235955055,0.43817245318648518
2,0.79683388838120439,0.41760286424949711,0.79522471910112358,0.42071283235978546
3,0.81269253697839594,0.39154521546710513,0.80362359550561802,0.40895693278044798
4,0.82538944358977762,0.37026703211155942,0.80707865168539328,0.4057484299078416
5,0.83594835093188435,0.35130482591821161,0.81042134831460677,0.39926259701171618
6,0.84456589251400127,0.33488981644935883,0.81272471910112365,0.39572436502810276
7,0.85261226056767658,0.3202721943796476,0.81455056179775276,0.39935222496477407
8,0.85887332120295645,0.30796333270870097,0.8160955056179775,0.39645117319032047
9,0.86657323974013045,0.29524494678260449,0.81755617977528094,0.40074383988809048
10,0.8725065778592529,0.28342747692553683,0.81991573033707865,0.39784153417924817
11,0.87800919495781493,0.27265312008401971,0.81705056179775282,0.40973682678147649
12,0.88223525482766474,0.2641748813620341,0.82134831460674163,0.4093108068021496
13,0.88725409106959141,0.25457981167696986,0.81898876404494381,0.41806915985064558
14,0.89171111728427155,0.24636281025507814,0.82134831460674163,0.42437982906786242
15,0.89568748380931917,0.23937282411626198,0.82255617977528095,0.42377131162734516
16,0.89820938659727145,0.2332494493442295,0.82353932584269662,0.43300455532047188
17,0.90215454145414919,0.22632466399545337,0.81890449438202251,0.43416616342710646
18,0.90400851454326281,0.22108254995664206,0.8195224719101124,0.45652026909120969
19,0.90797863873449047,0.2146817445812676,0.82255617977528095,0.43848270410232332
20,0.91033511968169967,0.20971802146411275,0.82306179775280897,0.4609579761979285
21,0.91221406210516331,0.20448366245601629,0.82455056179775277,0.44851785905575486
22,0.91504183924173998,0.19929386672209159,0.81991573033707865,0.46995599316412145
23,0.91678345032506947,0.19573478677691653,0.81921348314606746,0.47032585792327197
24,0.91954568295848915,0.18992092635465446,0.82050561797752808,0.46014604192771269
